Rank,country,HDI Value
180,Afghanistan,0.478
67,Albania,0.796
91,Algeria,0.745
40,Andorra,0.858
148,Angola,0.586
71,Antigua And Barbuda,0.788
47,Argentina,0.842
85,Armenia,0.759
5,Australia,0.951
25,Austria,0.916
91,Azerbaijan,0.745
55,Bahamas,0.812
35,Bahrain,0.875
129,Bangladesh,0.661
70,Barbados,0.79
60,Belarus,0.808
13,Belgium,0.937
123,Belize,0.683
166,Benin,0.525
127,Bhutan,0.666
118,Bolivia,0.692
74,Bosnia And Herzegovina,0.78
117,Botswana,0.693
87,Brazil,0.754
51,Brunei Darussalam,0.829
68,Bulgaria,0.795
184,Burkina Faso,0.449
187,Burundi,0.426
159,Cote d'Ivoire,0.55
128,Cabo Verde,0.662
146,Cambodia,0.593
151,Cameroon,0.576
15,Canada,0.936
188,Central African Republic,0.404
190,Chad,0.394
42,Chile,0.855
79,China,0.768
88,Colombia,0.752
156,Comoros,0.558
153,Congo,0.571
179,Democratic Republic of Congo,0.479
58,Costa Rica,0.809
40,Croatia,0.858
83,Cuba,0.764
29,Cyprus,0.896
32,Czech Republic,0.889
6,Denmark,0.948
171,Djibouti,0.509
102,Dominica,0.72
80,Dominican Republic,0.767
95,Ecuador,0.74
97,Egypt,0.731
125,El Salvador,0.675
145,Equatorial Guinea,0.596
176,Eritrea,0.492
31,Estonia,0.89
144,Eswatini,0.597
175,Ethiopia,0.498
99,Fiji,0.73
11,Finland,0.94
28,France,0.903
112,Gabon,0.706
174,Gambia,0.5
63,Georgia,0.802
9,Germany,0.942
133,Ghana,0.632
33,Greece,0.887
68,Grenada,0.795
135,Guatemala,0.627
182,Guinea,0.465
177,Guinea-Bissau,0.483
108,Guyana,0.714
163,Haiti,0.535
137,Honduras,0.621
4,Hong Kong,0.952
46,Hungary,0.846
3,Iceland,0.959
132,India,0.633
114,Indonesia,0.705
76,Iran,0.774
121,Iraq,0.686
8,Ireland,0.945
22,Israel,0.919
30,Italy,0.895
110,Jamaica,0.709
19,Japan,0.925
102,Jordan,0.72
56,Kazakhstan,0.811
152,Kenya,0.575
136,Kiribati,0.624
19,South Korea,0.925
50,Kuwait,0.831
118,Kyrgyzstan,0.692
140,Laos,0.607
39,Latvia,0.863
112,Lebanon,0.706
168,Lesotho,0.514
178,Liberia,0.481
104,Libya,0.718
16,Liechtenstein,0.935
35,Lithuania,0.875
17,Luxembourg,0.93
173,Madagascar,0.501
169,Malawi,0.512
62,Malaysia,0.803
90,Maldives,0.747
186,Mali,0.428
23,Malta,0.918
131,Marshall Islands,0.639
158,Mauritania,0.556
63,Mauritius,0.802
86,Mexico,0.758
134,Micronesia,0.628
80,Moldova,0.767
96,Mongolia,0.739
49,Montenegro,0.832
123,Morocco,0.683
185,Mozambique,0.446
149,Myanmar,0.585
139,Namibia,0.615
143,Nepal,0.602
10,Netherlands,0.941
13,New Zealand,0.937
126,Nicaragua,0.667
189,Niger,0.4
163,Nigeria,0.535
78,North Macedonia,0.77
2,Norway,0.961
54,Oman,0.816
161,Pakistan,0.544
80,Palau,0.767
106,Palestine,0.715
61,Panama,0.805
156,Papua New Guinea,0.558
105,Paraguay,0.717
84,Peru,0.762
116,Philippines,0.699
34,Poland,0.876
38,Portugal,0.866
42,Qatar,0.855
53,Romania,0.821
52,Russia,0.822
165,Rwanda,0.534
75,Saint Kitts And Nevis,0.777
106,Saint Lucia,0.715
89,Saint Vincent And the Grenadines,0.751
111,Samoa,0.707
44,San Marino,0.853
138,Sao Tome And Principe,0.618
35,Saudi Arabia,0.875
170,Senegal,0.511
63,Serbia,0.802
72,Seychelles,0.785
181,Sierra Leone,0.477
12,Singapore,0.939
45,Slovakia,0.848
23,Slovenia,0.918
155,Solomon Islands,0.564
109,South Africa,0.713
191,South Sudan,0.385
27,Spain,0.905
73,Sri Lanka,0.782
172,Sudan,0.508
99,Suriname,0.73
7,Sweden,0.947
1,Switzerland,0.962
150,Syria,0.577
48,Turkey,0.838
122,Tajikistan,0.685
160,Tanzania,0.549
66,Thailand,0.8
140,Timor-Leste,0.607
162,Togo,0.539
91,Tonga,0.745
57,Trinidad And Tobago,0.81
97,Tunisia,0.731
91,Turkmenistan,0.745
130,Tuvalu,0.641
166,Uganda,0.525
77,Ukraine,0.773
26,United Arab Emirates,0.911
18,United Kingdom,0.929
21,United States,0.921
58,Uruguay,0.809
101,Uzbekistan,0.727
140,Vanuatu,0.607
120,Venezuela,0.691
115,Vietnam,0.703
183,Yemen,0.455
154,Zambia,0.565
146,Zimbabwe,0.593
